gist class,Top-Level,Rigidity (Phil),Rigidity (Pel),Rigidity (Dylan),Rigidity (Rebecca),Rigidity(consensus),Provides Identity (Phil),Provides Identity (Pel),Provides Identity (Dylan),Provides Identity (Will),Provides Identity (Rebecca),Provides Identity (consensus),inherits identity from,UFO stereotype the class belongs to,Intital Agreement?,Notes
gist:Account,No,Rigid,Rigid,Rigid,,Rigid,inherited,no,no,no,yes,,,Relator ??,FALSE,
gist:Address,No,Rigid,Rigid,Rigid,Rigid,Anti-rigid,yes,no,no,no,yes,,,,FALSE,Text definition implies successful routing
gist:AddressUsageType,No,Rigid,Rigid,Rigid,Rigid,Rigid,,no,no,inherits from superclass,,,,,FALSE,
gist:Agreement,No,Rigid,Rigid,Rigid,Rigid,Rigid,yes,no,no,no,yes,,,Category,FALSE,
gist:Aspect,Yes,Rigid,Rigid,Rigid,Rigid,Rigid,yes,,no,yes,yes,yes,,Quality,FALSE,
gist:Assignment,,,,,,,inherited,,,,,,,,,
gist:Behavior,No,Rigid,Rigid,Rigid,Rigid,Rigid,,,no,inherits from superclass,,,,Relator ??,FALSE,
gist:Building,No,Rigid,Rigid,Rigid,,Rigid,inherited,no,no,inherits from superclass,yes,,,Kind,FALSE,
gist:BundledCatalogItem,No,Anti-rigid,Anti-rigid,Anti-rigid,,Anti-rigid,inherited,no,no,inherits from superclass,,,,,FALSE,
gist:CatalogItem,No,Anti-rigid,Anti-rigid,Anti-rigid,,Anti-rigid,inherited,no,no,inherits from superclass,,,,,FALSE,
gist:Category,Yes,Rigid,Rigid,Rigid,Rigid,Rigid,no,yes,yes,yes,,,,,FALSE,
gist:Collection,No,Rigid,Semi-rigid,Rigid,Rigid,Rigid,yes,yes,yes,yes,,,,Collective (typically),TRUE,"Has different criterion of identity from a mathematical set; for collections, it's about the criterion of inclusion. Also need to make unorderedCollection under collection"
gist:Commitment,No,Rigid,Semi-rigid,Rigid,Rigid,,yes,no,yes,yes,,,,Relator ??,FALSE,More discussion w/ gist team
